Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Abacavir  ,1,Abacavir,136470-78-5,2922.50.99,NVE
Acamprosato,15,Acamprosate,77337-76-9,2924.19.99,NVE
Acarbose,17,Acarbose,56180-94-0,2932.99.99,NVE
Acebutolol,20,Acebutolol,37517-30-9,2924.29.99,NVE
Aceclidina,25,Aceclidine,827-61-2,2933.39.99,NVE
Aceclofenaco,27,Aceclofenac,89796-99-6,2922.49.69,NVE
Acefurato de Dexametasona,2818,Dexamethasone Acefurate,83880-70-0,2937.22.90,NVE
Acemetacina,40,Acemetacin,53164-05-9,2933.99.99,NVE
Aceponato de Hidrocortisona,4665,Hydrocortisone Aceponate,74050-20-7,2937.29.90,NVE
Aceponato de Metilprednisolona,5813,Methylprednisolone Aceponate,86401-95-8,2937.29.10,NVE
Acepromazina  ,44,Acepromazine,61-00-7,2934.30.90,NVE
Acetarsol Sódico,52,Acetarsol Sodium,55588-51-7,2931.90.59,NVE
Acetato de Betametasona,1214,Betamethasone Acetate,987-24-6,2937.22.90,NVE
Acetato de Busserrelina,1567,Buserelin Acetate,68630-75-1,2937.90.90,NVE
Acetato de Caspofungina,56,Caspofungin Acetate,179463-17-3,2941.90.99,NVE
Acetato de Cetrorrelix,57,Cetrorelix Acetate,145672-81-7,2937.90.90,NVE
Acetato de Ciproterona,2146,Cyproterone Acetate,427-51-0,2937.29.31,NVE
Acetato de Clostebol  ,2522,Clostebol Acetate,855-19-6,2937.29.90,NVE
Acetato de Cortisona,2611,Cortisone Acetate,50-04-4,2937.29.90,NVE
Acetato de Desmopressina Anidro,2792,Desmopressin Acetate Anhydrous,62288-83-9,2937.90.90,NVE
Acetato de Dexametasona Anidro,2819,Dexamethasone Acetate Anhydrous,1177-87-3,2937.22.10,NVE
Acetato de Ergocalciferol,3478,Ergocalciferol Acetate,2579-08-0,2936.29.29,NVE
Acetato de Estradiol,3596,Estradiol Acetate,4245-41-4,2937.23.49,NVE
Acetato de Flecainida,4069,Flecainide Acetate,54143-56-5,2933.39.19,NVE
Acetato de Fludrocortisona,4119,Fludrocortisone Acetate,514-36-3,2937.22.90,NVE
Acetato de Flunisolida,4153,Flunisolide Acetate,4533-89-5,2937.22.90,NVE
Acetato de Fluormetolona,4173,Fluorometholone Acetate,3801-06-7,2937.22.90,NVE
Acetato de Fluprednideno,4193,Fluprednidene Acetate,1255-35-2,2937.22.90,NVE
Acetato de Fluprednisolona,4196,Fluprednisolone Acetate,34253-70-8,2937.22.90,NVE
Acetato de Ganirrelix,4401,Ganirelix Acetate,129311-55-3,2937.90.90,NVE
Acetato de Glatirâmer,4446,Glatiramer Acetate,147245-92-9,2922.49.90,NVE
Acetato de Gosserrelina,4531,Goserelin Acetate,145781-92-6,2937.90.90,NVE
Acetato de Guanabenzo,4552,Guanabenz Acetate,23256-50-0,2928.00.90,NVE
Acetato de Hidrocortisona,4666,Hydrocortisone Acetate,50-03-3,2937.29.90,NVE
Acetato de Hidroxiprogesterona,4709,Hydroxyprogesterone Acetate,302-23-8,2937.23.99,NVE
Acetato de Hidroxocobalamina,4720,Hydroxocobalamin Acetate,22465-48-1,2936.26.30,NVE
Acetato de Lanreotida,5164,Lanreotide Acetate,127984-74-1,2937.19.90,NVE
Acetato de Leuprorrelina,5220,Leuprorelin Acetate,74381-53-6,2937.90.90,NVE
Acetato de Medroxiprogesterona,5563,Medroxyprogesterone Acetate,71-58-9,2937.23.10,NVE
Acetato de Megestrol,5582,Megestrol Acetate,595-33-5,2937.23.99,NVE
Acetato de Merisoprol (197 Hg),9722,Merisoprol Acetate Hg 197,24359-51-1,2844.40.90,NVE
Acetato de Merisoprol (203 Hg),9723,Merisoprol Acetate Hg 203,24359-50-0,2844.40.90,NVE
Acetato de Metilprednisolona,5814,Methylprednisolone Acetate,53-36-1,2937.29.10,NVE
Acetato de Nafarrelina,6174,Nafarelin Acetate,86220-42-0,2937.90.90,NVE
Acetato de Nomegestrol,6460,Nomegestrol Acetate,58652-20-3,2937.23.29,NVE
Acetato de Noretisterona,6492,Norethisterone Acetate,51-98-9,2937.23.99,NVE
Acetato de Octreotida,6571,Octreotide Acetate,79517-01-4,2937.19.90,NVE
Acetato de Prednisolona,7334,Prednisolone Acetate,52-21-1,2937.29.90,NVE
Acetato de Prednisona,7342,Prednisone Acetate,125-10-0,2937.29.90,NVE
Acetato de Retinol,7694,Retinol Acetate,127-47-9,2936.21.12,NVE
Acetato de Somatostatina,8045,Somatostatin Acetate,55369-74-9,2937.19.90,NVE
Acetato de Teriparatida,8428,Teriparatide Acetate,99294-94-7,2937.90.90,NVE
Acetato de Tetracosactida,8468,Tetracosactide Acetate,60189-34-6,2937.19.90,NVE
Acetato de Tocoferol,8717,Tocopherol Acetate,58-95-7,2936.28.12,NVE
Acetato de Triptorrelina,8950,Triptorelin Acetate,140194-24-7,2937.90.90,NVE
Acetato de Zuclopentixol  ,9314,Zuclopentixol Acetate,85721-05-7,2934.99.49,NVE
Acetazolamida,63,Acetazolamide,59-66-5,2935.90.29,NVE
Acetazolamida Sódica,64,Acetazolamide Sodium,1424-27-7,2935.90.29,NVE
Acetilcisteína,67,Acetylcysteine,616-91-1,2930.90.19,NVE
Acetilmetionina,74,Acetylmethionine,1115-47-5,2930.90.39,NVE
Acibutato de Betametasona,1215,Betamethasone Acibutate,5534-05-4,2937.22.90,NVE
Aciclovir,82,Aciclovir,59277-89-3,2933.59.42,NVE
Aciclovir Sódico,83,Aciclovir Sodium,69657-51-8,2933.59.49,NVE
Ácido Acetilsalicílico,89,Acetylsalicylic Acid,50-78-2,2918.22.11,NVE
Ácido Acexâmico,93,Acexamic Acid,57-08-9,2924.19.29,NVE
Ácido Alendrônico,96,Alendronic Acid,66376-36-1,2931.39.99,NVE
Ácido Aminocaproico,100,Aminocaproic Acid,60-32-2,2922.49.90,NVE
Ácido Araquidônico,103,Arachidonic Acid,506-32-1,2916.19.90,NVE
Ácido Ascórbico,104,Ascorbic Acid,50-81-7,2936.27.10,NVE
Ácido Azelaico,113,Azelaic Acid,123-99-9,2917.13.10,NVE
Ácido Bórico,116,Ortoboric Acid,10043-35-3,2810.00.10,NVE
Ácido Clavulânico,136,Clavulanic Acid,58001-44-8,2934.99.99,NVE
Ácido Desidrocólico,157,Deshydrocholic Acid,81-23-2,2918.30.31,NVE
Ácido Diatrizoico,163,Diatrizoic Acid,117-96-4,2924.29.99,NVE
Ácido Flufenâmico,192,Flufenamic Acid,530-78-9,2922.49.90,NVE
Ácido Fólico,194,Folic Acid,59-30-3,2936.29.11,NVE
Ácido Folínico,196,Folinic Acid,58-05-9,2936.29.19,NVE
Ácido Fusídico,217,Fusidic Acid,6990-06-3,2941.90.99,NVE
Ácido Gamaminobutírico,99,Gamma-Aminobutyric Acid,56-12-2,2922.49.90,NVE
Ácido Iocanlídico (123 I),239,Iocanlidic Acid I 123,74855-17-7,2844.40.90,NVE
Ácido Iocetâmico,241,Iocetamic Acid,16034-77-8,2924.29.49,NVE
Ácido Iodocetílico (123 I),242,Iodocetylic Acid I 123,54510-20-2,2844.40.90,NVE
Ácido Iodofíltico (123 I),9724,Iodofiltic Acid I 123,123748-56-1,2844.40.90,NVE
Ácido Ioglícico,246,Ioglycic Acid,49755-67-1,2924.29.99,NVE
Ácido Iopanoico,252,Iopanoic Acid,96-83-3,2922.49.90,NVE
Ácido Ioxitalâmico,268,Ioxitalamic Acid,28179-44-4,2924.29.47,NVE
Ácido Linoleico,280,Linoleic Acid,60-33-3,2916.15.20,NVE
Ácido Mefenâmico,286,Mefenamic Acid,61-68-7,2922.49.90,NVE
